rank,sample_id,eval_token_index,channel,tile_id,tile_offset,activation,quantized_activation,reconstruction_error,abs_reconstruction_error,nearest_centroid
624,16,1721,57,14,1,0.1787109375,-1.4203373193740845,1.5990482568740845,1.5990482568740845,95
625,9,912,25,6,1,1.265625,-0.33161064982414246,1.5972356796264648,1.5972356796264648,101
626,11,1370,35,8,3,-0.10791015625,-1.7035616636276245,1.5956515073776245,1.5956515073776245,78
627,9,912,99,24,3,-1.6953125,-0.1002812460064888,-1.5950312614440918,1.5950312614440918,91
628,14,1599,59,14,3,-0.5625,-2.1573808193206787,1.5948808193206787,1.5948808193206787,95
629,35,3286,35,8,3,-0.10888671875,-1.7035616636276245,1.5946749448776245,1.5946749448776245,78
630,76,6903,57,14,1,0.1708984375,-1.4203373193740845,1.5912357568740845,1.5912357568740845,95
631,72,6630,26,6,2,-0.1171875,1.4718811511993408,-1.5890686511993408,1.5890686511993408,101
632,51,4754,5,1,1,2.671875,1.0863683223724365,1.5855066776275635,1.5855066776275635,100
633,63,6106,19,4,3,0.66015625,2.2438507080078125,-1.5836944580078125,1.5836944580078125,124
634,49,4380,26,6,2,-0.10791015625,1.4718811511993408,-1.5797913074493408,1.5797913074493408,101
635,59,5756,32,8,0,-0.09716796875,-1.6763474941253662,1.5791795253753662,1.5791795253753662,24
636,14,1599,57,14,1,0.15625,-1.4203373193740845,1.5765873193740845,1.5765873193740845,95
637,95,9149,54,13,2,1.515625,3.0921874046325684,-1.5765624046325684,1.5765624046325684,51
638,64,6113,35,8,3,-0.12890625,-1.7035616636276245,1.5746554136276245,1.5746554136276245,78
639,50,4618,20,5,0,-0.0223388671875,1.5519205331802368,-1.5742594003677368,1.5742594003677368,82
640,49,4380,45,11,1,0.0869140625,-1.4870961904525757,1.5740102529525757,1.5740102529525757,119
641,30,2841,3,0,3,2.875,1.3017035722732544,1.5732964277267456,1.5732964277267456,86
642,3,181,3,0,3,2.875,1.3017035722732544,1.5732964277267456,1.5732964277267456,86
643,50,4618,1,0,1,-0.98828125,0.5844319462776184,-1.5727131366729736,1.5727131366729736,86
644,70,6493,20,5,0,-1.2421875,0.32900917530059814,-1.5711966753005981,1.5711966753005981,58
645,5,383,53,13,1,0.5625,2.1334192752838135,-1.5709192752838135,1.5709192752838135,105
646,24,2388,55,13,3,2.71875,1.148675560951233,1.570074439048767,1.570074439048767,115
647,62,6010,17,4,1,-0.9765625,0.5928698778152466,-1.5694323778152466,1.5694323778152466,124
648,5,383,17,4,1,-0.9765625,0.5928698778152466,-1.5694323778152466,1.5694323778152466,124
649,13,1462,35,8,3,-0.13671875,-1.7035616636276245,1.5668429136276245,1.5668429136276245,78
650,14,1599,3,0,3,-0.26171875,1.3017035722732544,-1.5634223222732544,1.5634223222732544,86
651,54,5259,22,5,2,-1.9765625,-3.5396430492401123,1.5630805492401123,1.5630805492401123,58
652,9,912,26,6,2,-0.09033203125,1.4718811511993408,-1.5622131824493408,1.5622131824493408,101
653,18,1976,52,13,0,0.01495361328125,-1.5451741218566895,1.5601277351379395,1.5601277351379395,30
654,56,5336,53,13,1,0.39453125,-1.1647276878356934,1.5592589378356934,1.5592589378356934,30
